INFO 2024-12-11 16:03:55,026 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,063 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,119 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,168 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,185 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,209 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,234 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,249 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,266 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,286 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,301 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,320 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,336 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,352 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,367 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,384 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,419 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:04:22,685 basehttp 7208 8220 "POST /logout/ HTTP/1.1" 302 0
INFO 2024-12-11 16:04:22,696 basehttp 7208 8220 "GET / HTTP/1.1" 200 2022
INFO 2024-12-11 16:04:24,758 basehttp 7208 8220 "GET /login/ HTTP/1.1" 200 3040
INFO 2024-12-11 16:04:37,169 basehttp 7208 8220 "POST /login/ HTTP/1.1" 302 0
INFO 2024-12-11 16:04:37,195 basehttp 7208 8220 "GET / HTTP/1.1" 200 3487
DEBUG 2024-12-11 16:04:39,235 views 7208 8220 Usuario Juan (rol: jefe_bodega) accedió a lista_informes
DEBUG 2024-12-11 16:04:39,237 views 7208 8220 Intentando obtener la lista de informes
DEBUG 2024-12-11 16:04:39,303 views 7208 8220 Se recuperaron 0 informes
DEBUG 2024-12-11 16:04:39,309 views 7208 8220 Renderizando lista_informes.html con 0 informes
INFO 2024-12-11 16:04:39,323 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 200 3472
ERROR 2024-12-11 16:04:46,965 log 7208 8220 Internal Server Error: /informes/generar/movimientos/
Traceback (most recent call last):
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\mysql\base.py", line 76, in execute
    return self.cursor.execute(query, args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\MySQLdb\cursors.py", line 179, in execute
    res = self._query(mogrified_query)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\MySQLdb\cursors.py", line 330, in _query
    db.query(q)
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\MySQLdb\connections.py", line 265, in query
    _mysql.connection.query(self, query)
MySQLdb.OperationalError: (1054, "Unknown column 'nombre_archivo' in 'field list'")

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\contrib\auth\decorators.py", line 60, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\contrib\auth\decorators.py", line 60, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\informes\views.py", line 41, in generar_informe
    informe = Informe.objects.create(
              ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\query.py", line 679, in create
    obj.save(force_insert=True, using=self.db)
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\base.py", line 891, in save
    self.save_base(
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\base.py", line 997, in save_base
    updated = self._save_table(
              ^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\base.py", line 1160, in _save_table
    results = self._do_insert(
              ^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\base.py", line 1201, in _do_insert
    return manager._insert(
           ^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\query.py", line 1847, in _insert
    return query.get_compiler(using=using).execute_sql(returning_fields)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1836, in execute_sql
    cursor.execute(sql, params)
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\utils.py", line 122, in execute
    return super().execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
    return self._execute_with_wrappers(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\utils.py", line 100, in _execute
    with self.db.wrap_database_errors:
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\utils.py", line 91, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\django\db\backends\mysql\base.py", line 76, in execute
    return self.cursor.execute(query, args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\MySQLdb\cursors.py", line 179, in execute
    res = self._query(mogrified_query)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\MySQLdb\cursors.py", line 330, in _query
    db.query(q)
  File "C:\Users\Camila\Desktop\libreria_1\venv\Lib\site-packages\MySQLdb\connections.py", line 265, in query
    _mysql.connection.query(self, query)
django.db.utils.OperationalError: (1054, "Unknown column 'nombre_archivo' in 'field list'")
